a	a!
nuorikkažet	n u! o r' i k k a zh e t
nuoril	n u! o r' i l
nuorile	n u! o r' i l' e
nuorin	n u! o r' i n
nuoru	n u! o r u
nuorusaijal	n u! o r u s a j a l
nuotan	n u! o t a n
nuotat	n u! o t a t
nuothäi	n u! o t h' ae j
nuottua	n u! o t u a
nuottua	n u! o t t u a
nuožarveh	n u! o zh a r v' e h
nuožarven	n u! o zh a r v' e n
nurgalijevua	n u! r g a l' i j e v u a
nurmoilas	n u! r m o j l a s
nygoi	n' y! g o j
nygyaigaizil	n' y! g' y a j g a j z' i l
nygyzien	n' y! g' y z' i e n
nygöi	n' y! g' oe j
nygöigi	n' y! g' oe j g' i
nygöine	n' y! g' oe j n' e
nygöizel	n' y! g' oe j z' e l
nygöizes	n' y! g' oe j z' e s
nyhtiimmö	n' y! h t' i: m' oe
nyhtiimmö	n' y! h t' i: m' m' oe
nyhtimmö	n' y! h t' i m' oe
nyhtimmö	n' y! h t' i m' m' oe
nyhtätä	n' y! h t' ae t' ae
nytkytettih	n' y! t k' y t' e t' i h
nytkytettih	n' y! t k' y t' e t' t' i h
näe	n' ae! e
nägemäh	n' ae! g' e m' ae h
nägevys	n' ae! g' e v' y s
nägeväl	n' ae! g' e v' ae l
nägi	n' ae! g' i
nägy	n' ae! g' y
nägyi	n' ae! g' y j
nägymäh	n' ae! g' y m' ae h
nägymättömäs	n' ae! g' y m' ae t' oe m' ae s
nägymättömäs	n' ae! g' y m' ae t' t' oe m' ae s
nägynyh	n' ae! g' y n' y h
nägyy	n' ae! g' y:
nägöy	n' ae! g' oe y
näh	n' ae! h
nähnyh	n' ae! h n' y h
nähnyt	n' ae! h n' y t
nähnyžittö	n' ae! h n' y zh i^ t' oe
nähnyžittö	n' ae! h n' y zh i^ t' t' oe
nähte	n' ae! h t' e
nähtih	n' ae! h t' i h
nähtä	n' ae! h t' ae
nähtäh	n' ae! h t' ae h
näi	n' ae! j
näimmö	n' ae! j m' oe
näimmö	n' ae! j m' m' oe
näimmöhäi	n' ae! j m' oe h' ae j
näimmöhäi	n' ae! j m' m' oe h' ae j
näin	n' ae! j n
näit	n' ae! j t
näitkös	n' ae! j t k' oe s
näiväkösti	n' ae! j v' ae k' oe s t' i
näkevinkelistö	n' ae! k' e v' i n k' e l' i s t' oe
näkkileibiä	n' ae! k' i l' e j b' i ae
näkkileibiä	n' ae! k' k' i l' e j b' i ae
nälgiä	n' ae! l g' i ae
nälgy	n' ae! l g' y
nälläs	n' ae! l' ae s
nälläs	n' ae! l' l' ae s
nämien	n' ae! m' i e n
nämih	n' ae! m' i h
nämii	n' ae! m' i:
nämil	n' ae! m' i l
nämile	n' ae! m' i l' e
nämis	n' ae! m' i s
nämmih	n' ae! m' i h
nämmih	n' ae! m' m' i h
nämmil	n' ae! m' i l
nämmil	n' ae! m' m' i l
nämmis	n' ae! m' i s
nämmis	n' ae! m' m' i s
nämmä	n' ae! m' ae
nämmä	n' ae! m' m' ae
nämä	n' ae! m' ae
näppih	n' ae! p' i h
näppih	n' ae! p' p' i h
nävedii	n' ae! v' e d' i:
nävyttih	n' ae! v' y t' i h
nävyttih	n' ae! v' y t' t' i h
nävytäh	n' ae! v' y t' ae h
näykindiä	n' ae! y k' i n d' i ae
näykännyh	n' ae! y k' ae n' y h
näykännyh	n' ae! y k' ae n' n' y h
obezatel'no	o! b' e z a t' e l' n o
obiidua	o! b' i: d u a
objasnäičet	o! b j a s n' ae j ch e t
objavleniedu	o! b j a v l' e n' i e d u
objavläittih	o! b j a v l' ae j t' i h
objavläittih	o! b j a v l' ae j t' t' i h
oblastiloih	o! b l a s t' i l o j h
oblastit	o! b l a s t' i t
obrazat	o! b r a z a t
obrazua	o! b r a z u a
obračšaijakseh	o! b r a ch sh a j a k s' e h
obroin	o! b r o j n
občšestvennoi	o! b ch sh e s t v' e n o j
občšestvennoi	o! b ch sh e s t v' e n n o j
občšoi	o! b ch sh o j
obščoin	o! b sh ch o j n
od'ualat	o! d' u a l a t
od'ualažet	o! d' u a l a zh e t
odva	o! d v a
ogrodas	o! g r o d a s
ogrodoi	o! g r o d o j
ogrodois	o! g r o d o j s
ogrodu	o! g r o d u
ogrodua	o! g r o d u a
ogurcat	o! g u r ts a t
ogurčaa	o! g u r ch a:
ogurčat	o! g u r ch a t
ohjaksis	o! h j a k s' i s
ohjattih	o! h j a t' i h
ohjattih	o! h j a t' t' i h
ohjavokundu	o! h j a v o k u n d u
ohotale	o! h o t a l' e
ohotniekku	o! h o t n' i e k u
ohotniekku	o! h o t n' i e k k u
ohtalin	o! h t a l' i n
ohtalinlohko	o! h t a l' i n l o h k o
oi	o! j
oigei	o! j g' e j
oigiedu	o! j g' i e d u
oigieh	o! j g' i e h
oigiele	o! j g' i e l' e
oigienmugažustu	o! j g' i e n m u g a zh u s t u
oijendi	o! j e n d' i
oijendin	o! j e n d' i n
oijettih	o! j e t' i h
oijettih	o! j e t' t' i h
oikoimmo	o! j k o j m o
oikoimmo	o! j k o j m m o
oja	o! j a
ojaine	o! j a j n' e
ojan	o! j a n
ojas	o! j a s
ojat	o! j a t
ojat'	o! j a t'
ojatevčšinah	o! j a t' e v ch sh i^ n a h
ojatin	o! j a t' i n
ojitustu	o! j i t u s t u
ojo	o! j o
ojua	o! j u a
okoppua	o! k o p u a
okoppua	o! k o p p u a
oksah	o! k s a h
oksas	o! k s a s
oksil	o! k s' i l
okt'abskoi	o! k t' a b s k o j
okul'oi	o! k u l' o j
ol'a	o! l' a
ol'akse	o! l' a k s' e
ol'hinan	o! l' h' i n a n
ol'ki	o! l' k' i
ol'kinan	o! l' k' i n a n
oldaneh	o! l d a n' e h
oldas	o! l d a s
oldaš	o! l d a sh
oldih	o! l d' i h
oldihgo	o! l d' i h g o
oldihhäi	o! l d' i h' ae j
oldihhäi	o! l d' i h' h' ae j
oldin	o! l d' i n
oldu	o! l d u
oldui	o! l d u j
ole	o! l' e
olegovič	o l' e! g o v' i ch
olemas	o! l' e m a s
olemmo	o! l' e m o
olemmo	o! l' e m m o
olen	o! l' e n
olet	o! l' e t
oletto	o! l' e t o
oletto	o! l' e t t o
olettogo	o! l' e t o g o
olettogo	o! l' e t t o g o
olešov	o! l' e sh o v
olešova	o! l' e sh o v a
olgah	o! l g a h
olgie	o! l g' i e
olgiposteli	o! l g' i p o s t' e l' i
olgua	o! l g u a
olgupiäl	o! l g u p' i ae l
olgupiäle	o! l g u p' i ae l' e
oli	o! l' i
oligi	o! l' i g' i
oligo	o! l' i g o
olihai	o! l' i h a j
olihäi	o! l' i h' ae j
oliimmo	o! l' i: m o
oliimmo	o! l' i: m m o
oliin	o! l' i: n
olijah	o! l' i j a h
olijale	o! l' i j a l' e
olijan	o! l' i j a n
olimmo	o! l' i m o
olimmo	o! l' i m m o
olimmö	o! l' i m' oe
olimmö	o! l' i m' m' oe
olin	o! l' i n
olis	o! l' i s
olit	o! l' i t
olitto	o! l' i t o
olitto	o! l' i t t o
olizimmo	o! l' i z' i m o
olizimmo	o! l' i z' i m m o
olizin	o! l' i z' i n
olizit	o! l' i z' i t
oliš	o! l' i sh
olla	o! l a
olla	o! l l a
ollah	o! l a h
ollah	o! l l a h
ollahgo	o! l a h g o
ollahgo	o! l l a h g o
ollahhäi	o! l a h' ae j
ollahhäi	o! l l a h' ae j
ollahhäi	o! l a h' h' ae j
ollahhäi	o! l l a h' h' ae j
olle	o! l' e
olle	o! l' l' e
ollen	o! l' e n
ollen	o! l' l' e n
olles	o! l' e s
olles	o! l' l' e s
ollou	o! l o u
ollou	o! l l o u
olluh	o! l u h
olluh	o! l l u h
olluon	o! l u o n
olluon	o! l l u o n
olluot	o! l u o t
olluot	o! l l u o t
ollus	o! l u s
ollus	o! l l u s
ollut	o! l u t
ollut	o! l l u t
olluzin	o! l u z' i n
olluzin	o! l l u z' i n
olluš	o! l u sh
olluš	o! l l u sh
oloneckoi	o! l o n' e ts k o j
olot	o! l o t
oma	o! m a
omaa	o! m a:
omah	o! m a h
omahizien	o! m a h' i z' i e n
omahižien	o! m a h' i zh i^ e n
omakse	o! m a k s' e
omal	o! m a l
omalaitoksižile	o! m a l a j t o k s' i zh i^ l' e
omale	o! m a l' e
omalluo	o! m a l u o
omalluo	o! m a l l u o
oman	o! m a n
omas	o! m a s
omat	o! m a t
omažus	o! m a zh u s
ombelemizeh	o! m b' e l' e m' i z' e h
omenapuut	o! m' e n a p u: t
omien	o! m' i e n
omih	o! m' i h
omii	o! m' i:
omil	o! m' i l
omis	o! m' i s
omistai	o! m' i s t a j
omistettu	o! m' i s t' e t u
omistettu	o! m' i s t' e t t u
ommellah	o! m' e l a h
ommellah	o! m' m' e l a h
ommellah	o! m' e l l a h
ommellah	o! m' m' e l l a h
omua	o! m u a
omuo	o! m u o
on	o! n
onegzavodan	o! n' e g z a v o d a n
ongeh	o! n g' e h
ongel	o! n g' e l
ongele	o! n g' e l' e
ongi	o! n g' i
ongiruagal	o! n g' i r u a g a l
ongiruagan	o! n g' i r u a g a n
ongiruagu	o! n g' i r u a g u
ongittai	o! n g' i t a j
ongittai	o! n g' i t t a j
ongittettih	o! n g' i t' e t' i h
ongittettih	o! n g' i t' t' e t' i h
ongittettih	o! n g' i t' e t' t' i h
ongittettih	o! n g' i t' t' e t' t' i h
ongo	o! n g o
onhäi	o! n h' ae j
oniegan	o! n' i e g a n
oniegujärven	o! n' i e g u j ae r v' e n
onnakko	o! n a k o
onnakko	o! n n a k o
onnakko	o! n a k k o
onnakko	o! n n a k k o
onnen	o! n' e n
onnen	o! n' n' e n
onnuakko	o! n u a k o
onnuakko	o! n n u a k o
onnuakko	o! n u a k k o
onnuakko	o! n n u a k k o
onnuako	o! n u a k o
onnuako	o! n n u a k o
onnukko	o! n u k o
onnukko	o! n n u k o
onnukko	o! n u k k o
onnukko	o! n n u k k o
ontoi	o! n t o j
ontoin	o! n t o j n
opastai	o! p a s t a j
opastajakse	o! p a s t a j a k s' e
opastajan	o! p a s t a j a n
opastajannu	o! p a s t a j a n u
opastajannu	o! p a s t a j a n n u
opastajat	o! p a s t a j a t
opastaji	o! p a s t a j i
opastajil	o! p a s t a j i l
opastamah	o! p a s t a m a h
opastamas	o! p a s t a m a s
opastamatoi	o! p a s t a m a t o j
opastannuh	o! p a s t a n u h
opastannuh	o! p a s t a n n u h
opastau	o! p a s t a u
opastažin	o! p a s t a zh i^ n
opastettih	o! p a s t' e t' i h
opastettih	o! p a s t' e t' t' i h
opastettu	o! p a s t' e t u
opastettu	o! p a s t' e t t u
opastettuloi	o! p a s t' e t u l o j
opastettuloi	o! p a s t' e t t u l o j
opasti	o! p a s t' i
opastin	o! p a s t' i n
opastitto	o! p a s t' i t o
opastitto	o! p a s t' i t t o
opastua	o! p a s t u a
opastui	o! p a s t u j
opastuimmo	o! p a s t u j m o
opastuimmo	o! p a s t u j m m o
opastuin	o! p a s t u j n
opastuitto	o! p a s t u j t o
opastuitto	o! p a s t u j t t o
opastujat	o! p a s t u j a t
opastujes	o! p a s t u j e s
opastujien	o! p a s t u j i e n
opastujii	o! p a s t u j i:
opastujua	o! p a s t u j u a
opastumah	o! p a s t u m a h
opastumas	o! p a s t u m a s
opastun	o! p a s t u n
opastundu	o! p a s t u n d u
opastundua	o! p a s t u n d u a
opastundukniigat	o! p a s t u n d u k n' i: g a t
opastunnuh	o! p a s t u n u h
opastunnuh	o! p a s t u n n u h
opastuo	o! p a s t u o
opastus	o! p a s t u s
opastuta	o! p a s t u t a
opastuttih	o! p a s t u t' i h
opastuttih	o! p a s t u t' t' i h
opastuu	o! p a s t u:
operacija	a p' i r a! ts y j a
opii	o! p' i:
opiin	o! p' i: n
opikkua	o! p' i k u a
opikkua	o! p' i k k u a
opimmo	o! p' i m o
opimmo	o! p' i m m o
opin	o! p' i n
opinnot	o! p' i n o t
opinnot	o! p' i n n o t
opis	o! p' i s
opit	o! p' i t
opitah	o! p' i t a h
opittih	o! p' i t' i h
opittih	o! p' i t' t' i h
oppie	o! p' i e
oppie	o! p' p' i e
oppinuh	o! p' i n u h
oppinuh	o! p' p' i n u h
optimistakse	o! p t' i m' i s t a k s' e
optimistu	o! p t' i m' i s t u
oranževih	o! r a n zh e v' i h
orboinnu	o! r b o j n u
orboinnu	o! r b o j n n u
orbolapsii	o! r b o l a p s' i:
orden	o! r d' e n
orfografičeskii	a r f a g r a f' i! ch i s k' i j
organizatsiet	o! r g a n' i z a t s' i e t
organizatsii	o! r g a n' i z a t s' i:
original'noi	o! r' i g' i n a l' n o j
orožua	o! r o zh u a
oružan	o! r u zh a n
osipov	o! s' i p o v
osnovnoit	o! s n o v n o j t
osobenno	a s o! b' i n a
osobenno	a s o! b' i n a
ostajien	o! s t a j i e n
ostajua	o! s t a j u a
ostatto	o! s t a t o
ostatto	o! s t a t t o
ostetah	o! s t' e t a h
ostettih	o! s t' e t' i h
ostettih	o! s t' e t' t' i h
ostettu	o! s t' e t u
ostettu	o! s t' e t t u
ostettugi	o! s t' e t u g' i
ostettugi	o! s t' e t t u g' i
ostetule	o! s t' e t u l' e
ostimmo	o! s t' i m o
ostimmo	o! s t' i m m o
ostokset	o! s t o k s' e t
ostonovku	o! s t o n o v k u
ostrova	a s t r a v a!
ostua	o! s t u a
ot	o! t
ota	o! t a
otakkua	o! t a k u a
otakkua	o! t a k k u a
otammo	o! t a m o
otammo	o! t a m m o
otammos	o! t a m o s
otammos	o! t a m m o s
otan	o! t a n
otandassah	o! t a n d a s a h
otandassah	o! t a n d a s s a h
otat	o! t a t
otatgo	o! t a t g o
otatto	o! t a t o
otatto	o! t a t t o
otdalennom	a d a l' o! n a m
otdalennom	o! t d a l' e n n o m
otdel'no	o! t d' e l' n o
otdelenies	o! t d' e l' e n' i e s
oteta	o! t' e t a
otetah	o! t' e t a h
otettih	o! t' e t' i h
otettih	o! t' e t' t' i h
otettihez	o! t' e t' i h' e z
otettihez	o! t' e t' t' i h' e z
otettu	o! t' e t u
otettu	o! t' e t t u
otin	o! t' i n
otkritku	o! t k r' i t k u
otličijem	a t l' i! ch i j e m
otpuskah	o! t p u s k a h
otrabotaiči	o! t r a b o t a j ch i
otsikon	o! t s' i k o n
ottaa	o! t a:
ottaa	o! t t a:
ottamah	o! t a m a h
ottamah	o! t t a m a h
ottau	o! t a u
ottau	o! t t a u
ottavui	o! t a v u j
ottavui	o! t t a v u j
ottažin	o! t a zh i^ n
ottažin	o! t t a zh i^ n
ottelin	o! t' e l' i n
ottelin	o! t' t' e l' i n
otti	o! t' i
otti	o! t' t' i
ottua	o! t u a
ottua	o! t t u a
otvettu	o! t v' e t u
otvettu	o! t v' e t t u
ounahasti	o! u n a h a s t' i
ouvešit	o! u v' e sh i^ t
ouvoššiloi	o! u v o sh i^ l o j
ouvoššiloi	o! u v o sh sh i^ l o j
ovesšii	o! v' e s sh i^:
oza	o! z a
ozah	o! z a h
ozakas	o! z a k a s
ozakkahat	o! z a k a h a t
ozakkahat	o! z a k k a h a t
ozakse	o! z a k s' e
ozan	o! z a n
ozannu	o! z a n u
ozannu	o! z a n n u
ozasto	o! z a s t o
ozastuo	o! z a s t u o
ozattomii	o! z a t o m' i:
ozattomii	o! z a t t o m' i:
ozattomua	o! z a t o m u a
ozattomua	o! z a t t o m u a
ozavannu	o! z a v a n u
ozavannu	o! z a v a n n u
ozavu	o! z a v u
ozavui	o! z a v u j
ozera	o! z' i r a
ozii	o! z' i:
ozrua	o! z r u a
ozua	o! z u a
ozuta	o! z u t a
ozutettih	o! z u t' e t' i h
ozutettih	o! z u t' e t' t' i h
ozutettu	o! z u t' e t u
ozutettu	o! z u t' e t t u
ozutin	o! z u t' i n
ozuttahez	o! z u t a h' e z
ozuttahez	o! z u t t a h' e z
ozuttau	o! z u t a u
ozuttau	o! z u t t a u
ozuttelu	o! z u t' e l u
ozuttelu	o! z u t' t' e l u
ozutti	o! z u t' i
ozutti	o! z u t' t' i
ozuttihes	o! z u t' i h' e s
ozuttihes	o! z u t' t' i h' e s
ozuttua	o! z u t u a
ozuttua	o! z u t t u a
ozutus	o! z u t u s
očal	o! ch a l
očas	o! ch a s
očeredi	o! ch e r' e d' i
očistit'	a ch i! s t' i t'
očkat	o! ch k a t
oččah	o! ch a h
oččah	o! ch ch a h
p'aisat	p' a! j s a t
p'at'	p' a! t'
p'ati	p' a t' i!
p'attojev	p' a! t o j e v
p'attojev	p' a! t t o j e v
paasiekku	p a:! s' i e k u
paasiekku	p a:! s' i e k k u
padazii	p a! d a z' i:
padin	p a! d' i n
paennuh	p a! e n u h
paennuh	p a! e n n u h
pagei	p a! g' e j
pagie	p a! g' i e
pagin	p a! g' i n
paginah	p a! g' i n a h
paginakas	p a! g' i n a k a s
paginan	p a! g' i n a n
paginanpidolois	p a! g' i n a n p' i d o l o j s
paginas	p a! g' i n a s
paginat	p a! g' i n a t
paginkanzannu	p a! g' i n k a n z a n u
paginkanzannu	p a! g' i n k a n z a n n u
paginkanzugi	p a! g' i n k a n z u g' i
paginluadu	p a! g' i n l u a d u
paginoi	p a! g' i n o j
paginoin	p a! g' i n o j n
paginua	p a! g' i n u a
pagize	p a! g' i z' e
pagizemah	p a! g' i z' e m a h
pagizen	p a! g' i z' e n
pagizenduaijakse	p a! g' i z' e n d u a j a k s' e
pagizet	p a! g' i z' e t
pagizi	p a! g' i z' i
pagizimmo	p a! g' i z' i m o
pagizimmo	p a! g' i z' i m m o
pagizin	p a! g' i z' i n
pagizingi	p a! g' i z' i n g' i
pagizutin	p a! g' i z u t' i n
pagižemah	p a! g' i zh e m a h
pagižemmo	p a! g' i zh e m o
pagižemmo	p a! g' i zh e m m o
pagižen	p a! g' i zh e n
pagižet	p a! g' i zh e t
pagižetto	p a! g' i zh e t o
pagižetto	p a! g' i zh e t t o
pagiži	p a! g' i zh i^
pagižiimmo	p a! g' i zh i^: m o
pagižiimmo	p a! g' i zh i^: m m o
pagižuttua	p a! g' i zh u t u a
pagižuttua	p a! g' i zh u t t u a
pagoh	p a! g o h
paguo	p a! g u o
paha	p a! h a
pahah	p a! h a h
pahakse	p a! h a k s' e
pahal	p a! h a l
pahale	p a! h a l' e
pahan	p a! h a n
pahapäiväzekse	p a! h a p' ae j v' ae z' e k s' e
paharaškat	p a! h a r a sh k a t
pahas	p a! h a s
pahat	p a! h a t
pahemb	p a! h' e m b
pahembat	p a! h' e m b a t
pahembi	p a! h' e m b' i
pahenda	p a! h' e n d a
pahenou	p a! h' e n o u
pahimih	p a! h' i m' i h
pahin	p a! h' i n
pahoi	p a! h o j
pahoil	p a! h o j l
pahua	p a! h u a
pahuksii	p a! h u k s' i:
pahuksis	p a! h u k s' i s
pahuos	p a! h u o s
pahus	p a! h u s
pahut	p a! h u t
pahuttu	p a! h u t u
pahuttu	p a! h u t t u
paijan	p a! j a n
paikal	p a! j k a l
paikan	p a! j k a n
paikannimet	p a! j k a n' i m' e t
paikannimet	p a! j k a n' n' i m' e t
paikat	p a! j k a t
paikkazen	p a! j k a z' e n
paikkazen	p a! j k k a z' e n
paikku	p a! j k u
paikku	p a! j k k u
paikkua	p a! j k u a
paikkua	p a! j k k u a
paimen	p a! j m' e n
paimendua	p a! j m' e n d u a
painaldih	p a! j n a l d' i h
painamattah	p a! j n a m a t a h
painamattah	p a! j n a m a t t a h
painamistu	p a! j n a m' i s t u
painatti	p a! j n a t' i
painatti	p a! j n a t' t' i
painettih	p a! j n' e t' i h
painettih	p a! j n' e t' t' i h
painettu	p a! j n' e t u
painettu	p a! j n' e t t u
painoi	p a! j n o j
painou	p a! j n o u
paissuh	p a! j s u h
paissuh	p a! j s s u h
paista	p a! j s t a
paistah	p a! j s t a h
paistes	p a! j s t' e s
paistih	p a! j s t' i h
paiči	p a! j ch i
paišta	p a! j sh t a
paištah	p a! j sh t a h
paišten	p a! j sh t' e n
paižeilmivö	p a! j zh e j l m' i v' oe
paja	p a! j a
pajah	p a! j a h
pajata	p a! j a t a
pajatandas	p a! j a t a n d a s
pajatannuh	p a! j a t a n u h
pajatannuh	p a! j a t a n n u h
pajatat	p a! j a t a t
pajatatto	p a! j a t a t o
pajatatto	p a! j a t a t t o
pajatettih	p a! j a t' e t' i h
pajatettih	p a! j a t' e t' t' i h
pajatimmo	p a! j a t' i m o
pajatimmo	p a! j a t' i m m o
pajatin	p a! j a t' i n
pajatitto	p a! j a t' i t o
pajatitto	p a! j a t' i t t o
pajattaa	p a! j a t a:
pajattaa	p a! j a t t a:
pajattai	p a! j a t a j
pajattai	p a! j a t t a j
pajattamah	p a! j a t a m a h
pajattamah	p a! j a t t a m a h
pajattas	p a! j a t a s
pajattas	p a! j a t t a s
pajattau	p a! j a t a u
pajattau	p a! j a t t a u
pajattazin	p a! j a t a z' i n
pajattazin	p a! j a t t a z' i n
pajattazit	p a! j a t a z' i t
pajattazit	p a! j a t t a z' i t
pajattelen	p a! j a t' e l' e n
pajattelen	p a! j a t' t' e l' e n
pajatti	p a! j a t' i
pajatti	p a! j a t' t' i
pajattua	p a! j a t u a
pajattua	p a! j a t t u a
pajeta	p a! j e t a
pajo	p a! j o
pajojoukkuo	p a! j o j o u k u o
pajojoukkuo	p a! j o j o u k k u o
pajojoukon	p a! j o j o u k o n
pajojoukos	p a! j o j o u k o s
pajokse	p a! j o k s' e
pajoloi	p a! j o l o j
pajoloin	p a! j o l o j n
pajon	p a! j o n
pajoneruo	p a! j o n' e r u o
pajostu	p a! j o s t u
pajot	p a! j o t
pajotgi	p a! j o t g' i
pajuo	p a! j u o
pakietat	p a! k' i e t a t
pakinnuh	p a! k' i n u h
pakinnuh	p a! k' i n n u h
pakita	p a! k' i t a
pakittu	p a! k' i t u
pakittu	p a! k' i t t u
pakičen	p a! k' i ch e n
pakičči	p a! k' i ch i
pakičči	p a! k' i ch ch i
pakkaine	p a! k a j n' e
pakkaine	p a! k k a j n' e
pakui	p a! k u j
pakuttua	p a! k u t u a
pakuttua	p a! k u t t u a
pal'l'ahii	p a! l' a h' i:
pal'l'ahii	p a! l' l' a h' i:
pal'l'as	p a! l' a s
pal'l'as	p a! l' l' a s
pal'l'astui	p a! l' a s t u j
pal'l'astui	p a! l' l' a s t u j
pala	p a! l a
palaine	p a! l a j n' e
palaizel	p a! l a j z' e l
palan	p a! l a n
palatiloile	p a! l a t' i l o j l' e
palava	p a! l a v a
palkah	p a! l k a h
palkakse	p a! l k a k s' e
palkalližel	p a! l k a l' i zh e l
palkalližel	p a! l k a l' l' i zh e l
palkan	p a! l k a n
palkata	p a! l k a t a
palkindon	p a! l k' i n d o n
paloi	p a! l o j
paloin	p a! l o j n
paloksel	p a! l o k s' e l
palomiehenny	p a! l o m' i e h' e n' y
palomiehenny	p a! l o m' i e h' e n' n' y
pamahtih	p a! m a h t' i h
pamätniekan	p a! m' ae t n' i e k a n
pamätniekat	p a! m' ae t n' i e k a t
pamätniekoin	p a! m' ae t n' i e k o j n
pan'a	p a! n' a
pandaš	p a! n d a sh
pandemija	p a n' d' i m' i! j a
pandih	p a! n d' i h
pandihgo	p a! n d' i h g o
pandu	p a! n d u
pane	p a! n' e
panemah	p a! n' e m a h
panemmo	p a! n' e m o
panemmo	p a! n' e m m o
panen	p a! n' e n
panet	p a! n' e t
panetto	p a! n' e t o
panetto	p a! n' e t t o
pangaa	p a! n g a:
pangua	p a! n g u a
pani	p a! n' i
panimmo	p a! n' i m o
panimmo	p a! n' i m m o
panimmohäi	p a! n' i m o h' ae j
panimmohäi	p a! n' i m m o h' ae j
panin	p a! n' i n
panna	p a! n a
panna	p a! n n a
pannah	p a! n a h
pannah	p a! n n a h
pannes	p a! n' e s
pannes	p a! n' n' e s
pannispäi	p a! n' i s p' ae j
pannispäi	p a! n' n' i s p' ae j
pannuos	p a! n u o s
pannuos	p a! n n u o s
panou	p a! n o u
panšu	p a! n sh u
papanina	p a! p a n' i n a
papil	p a! p' i l
papit	p a! p' i t
pappi	p a! p' i
pappi	p a! p' p' i
parahah	p a! r a h a h
parahas	p a! r a h a s
parahembistöh	p a! r a h' e m b' i s t' oe h
parahii	p a! r a h' i:
parahimat	p a! r a h' i m a t
parahimuolleh	p a! r a h' i m u o l' e h
parahimuolleh	p a! r a h' i m u o l' l' e h
parahis	p a! r a h' i s
parahite	p a! r a h' i t' e
parandamižekse	p a! r a n d a m' i zh e k s' e
parandi	p a! r a n d' i
parandua	p a! r a n d u a
parani	p a! r a n' i
paras	p a! r a s
parastu	p a! r a s t u
pardaa	p a! r d a:
pardehižen	p a! r d' e h' i zh e n
parem	p a! r' e m
parembakse	p a! r' e m b a k s' e
parembat	p a! r' e m b a t
parembažet	p a! r' e m b a zh e t
parembi	p a! r' e m b' i
parembua	p a! r' e m b u a
parenou	p a! r' e n o u
parfenčikov	p a! r f' e n ch i k o v
parniekoil	p a! r n' i e k o j l
parniekoin	p a! r n' i e k o j n
parnikoil	p a! r n' i k o j l
parran	p a! r a n
parran	p a! r r a n
parrel	p a! r' e l
parrel	p a! r' r' e l
parres	p a! r' e s
parres	p a! r' r' e s
parrespäi	p a! r' e s p' ae j
parrespäi	p a! r' r' e s p' ae j
parret	p a! r' e t
parret	p a! r' r' e t
parrois	p a! r o j s
parrois	p a! r r o j s
partieh	p a! r t' i e h
partizuanan	p a! r t' i z u a n a n
partizuanannugo	p a! r t' i z u a n a n u g o
partizuanannugo	p a! r t' i z u a n a n n u g o
partizuanujoukon	p a! r t' i z u a n u j o u k o n
partu	p a! r t u
parzi	p a! r z' i
parzii	p a! r z' i:
parzikolonalluo	p a! r z' i k o l o n a l u o
parzikolonalluo	p a! r z' i k o l o n a l l u o
parziloi	p a! r z' i l o j
parzis	p a! r z' i s
parzitukkuloih	p a! r z' i t u k u l o j h
parzitukkuloih	p a! r z' i t u k k u l o j h
pasečnoidu	p a! s' e ch n o j d u
pasportah	p a! s p o r t a h
pasportan	p a! s p o r t a n
pasportoi	p a! s p o r t o j
pasportua	p a! s p o r t u a
passibo	p a! s' i b o
passibo	p a! s' s' i b o
passiboičen	p a! s' i b o j ch e n
passiboičen	p a! s' s' i b o j ch e n
passibot	p a! s' i b o t
passibot	p a! s' s' i b o t
passibuo	p a! s' i b u o
passibuo	p a! s' s' i b u o
pastamah	p a! s t a m a h
pastamistu	p a! s t a m' i s t u
pastanuh	p a! s t a n u h
pastau	p a! s t a u
pastetah	p a! s t' e t a h
pastettih	p a! s t' e t' i h
pastettih	p a! s t' e t' t' i h
pastettu	p a! s t' e t u
pastettu	p a! s t' e t t u
pastettuloin	p a! s t' e t u l o j n
pastettuloin	p a! s t' e t t u l o j n
pastetun	p a! s t' e t u n
pastoimmo	p a! s t o j m o
pastoimmo	p a! s t o j m m o
pastuh	p a s t u! h
pat'desat'	p a! t' d' e s a t'
patides'ati	p a! t' i d' e s' a t' i
patriarhua	p a! t r' i a r h u a
patriotičeskoi	p a! t r' i o t' i ch e s k o j
patriotičeskom	p a t r' i a t' i! ch i s k a m
patronan	p a! t r o n a n
patronoi	p a! t r o n o j
patronoin	p a! t r o n o j n
patronua	p a! t r o n u a
pattiet	p a! t' i e t
pattiet	p a! t' t' i e t
pauvšoilan	p a! u v sh o j l a n
paušoilas	p a! u sh o j l a s
pavlovna	p a! v l o v n a
pavos	p a! v o s
pavospäi	p a! v o s p' ae j
pavveh	p a! v' e h
pavveh	p a! v' v' e h
pačkoindelih	p a! ch k o j n d' e l' i h
pačoipun'u	p a! ch o j p u n' u
paččahah	p a! ch a h a h
paččahah	p a! ch ch a h a h
paččahat	p a! ch a h a t
paččahat	p a! ch ch a h a t
paččahii	p a! ch a h' i:
paččahii	p a! ch ch a h' i:
paččahil	p a! ch a h' i l
paččahil	p a! ch ch a h' i l
pedrun	p' e! d r u n
